intent_id,intent_title,cluster,region_id,region_name,business_priority,relative_demand_band,relative_rank,phrase_count,max_count,strongest_phrase,dominant_query_type,next_action,commercial_phrases,informational_phrases,unmapped_phrases,top_phrases
"S01","Полусухая или мокрая стяжка","Стяжка","66","Омск","P1","high","1","192","1320","полусухая стяжка","commercial","landing","114","78","0","полусухая стяжка:1320:commercial:landing|полусухая стяжка пола:802:commercial:landing|полусухая стяжка пола омск:91:commercial:landing|полусухая стяжка в квартире:49:commercial:landing|полусухая стяжка пола в квартире:42:informational:guide|полусухая стяжка цена:40:commercial:landing|полусухая стяжка в омске:39:commercial:landing|заливка полусухой стяжки:34:commercial:landing"
"B01","Готовая баня как альтернатива долгой стройке","Бани","66","Омск","P1","high","2","259","948","баня под ключ","commercial","landing","257","2","0","баня под ключ:948:commercial:landing|готовые бани:719:commercial:landing|баня под ключ в омске:469:commercial:landing|готовые бани в омске:348:commercial:landing|купить готовую баню:344:commercial:landing|мобильная баня:260:commercial:landing|баня под ключ цена:258:commercial:landing|купить баню под ключ:237:commercial:landing"
"B03","Квадро или каркасная баня","Бани","66","Омск","P1","high","3","172","637","каркасная баня","commercial","landing","106","66","0","каркасная баня:637:commercial:landing|каркасная баня своими руками:98:informational:guide|каркасная баня в омске:54:commercial:landing|пол в каркасной бане:48:commercial:landing|строительство каркасной бани:33:commercial:landing|каркасная баня пошаговая:30:commercial:landing|каркасная баня своими руками пошаговая:30:informational:guide|каркасная баня купить:28:commercial:landing"
"P01","Механизированная или ручная штукатурка","Штукатурка","66","Омск","P1","high","4","47","559","механизированная штукатурка","commercial","landing","32","15","0","механизированная штукатурка:559:commercial:landing|механизированной штукатуркой механизируемая штукатурка:559:commercial:landing|механизированная штукатурка стен:16:commercial:landing|какая механизированная штукатурка лучше:6:informational:guide|лучшая механизированная штукатурка:6:commercial:landing|механизированная штукатурка омск:6:commercial:landing|аппарат для механизированной штукатурки:4:commercial:landing|кнауф механизированная штукатурка 30 кг:4:informational:guide"
"B10","Стоимость доставки по Омску и области","Бани","66","Омск","P1","high","5","23","130","баня с доставкой","commercial","landing","23","0","0","баня с доставкой:130:commercial:landing|бани с доставкой омск:105:commercial:landing|готовые бани с доставкой:76:commercial:landing|купить баню с доставкой:59:commercial:landing|готовые бани с доставкой омск:57:commercial:landing|купить баню с доставкой в омске:55:commercial:landing|купить готовую баню с доставкой:51:commercial:landing|баня с доставкой и установкой:48:commercial:landing"
"B20","Кедр против сосны и ели","Бани","66","Омск","P2","medium","6","13","121","кедровые бани","commercial","landing","11","2","0","кедровые бани:121:commercial:landing|кедровые бани омск:73:commercial:landing|кедровая баня омск демьяна:29:commercial:landing|кедровая баня на демьяна бедного:21:informational:guide|кедровая баня на демьяна бедного омск:20:informational:guide|кедровая баня цена:4:commercial:landing|кедровые бани бочки:3:commercial:landing|кедровую баню чем обработать:2:commercial:landing"
"B14","Фундамент для мобильной или готовой бани","Бани","66","Омск","P1","medium","7","53","116","фундамент под баню","informational","guide","2","51","0","фундамент под баню:116:informational:guide|ленточный фундамент под баню:15:informational:guide|каркасная баня на сваях:14:commercial:landing|как залить фундамент под баню:12:informational:guide|фундамент под баню своими руками:11:informational:guide|какой фундамент под баню:10:informational:guide|фундамент под баню 5 5:9:informational:guide|баня 4 4 фундамент под баню:8:informational:guide"
"B17","Использование бани зимой в Омске","Бани","66","Омск","P1","medium","8","25","82","баня зимой","informational","guide","0","25","0","баня зимой:82:informational:guide|теплая баня зимой:9:informational:guide|вода в бане зимой:6:informational:guide|как утеплить баню зимой:5:informational:guide|как сделать баню зимой:4:informational:guide|пол в бане зимой:3:informational:guide|провести воду в баню зимой:3:informational:guide|баня зимой паримся:2:informational:guide"
"B08","Что входит в баню под ключ","Бани","66","Омск","P1","medium","9","15","76","готовая баня под ключ","commercial","landing","15","0","0","готовая баня под ключ:76:commercial:landing|готовые бани под ключ в омске:43:commercial:landing|цена готовой бани под ключ:42:commercial:landing|готовая баня под ключ недорого цена:24:commercial:landing|готовые бани под ключ недорого:24:commercial:landing|купить готовую баню под ключ:22:commercial:landing|готовые бани под ключ фото:17:commercial:landing|готовые бани под ключ фото цена:17:commercial:landing"
"B02","Готовая баня или строить на участке","Бани","66","Омск","P1","medium","10","28","45","строительство бани под ключ","informational","guide","9","19","0","строительство бани под ключ:45:commercial:landing|строительство бани на участке:40:commercial:landing|омск строительство бань под ключ:26:commercial:landing|строительство бани под ключ цена:22:commercial:landing|строительство бань в омске под ключ цены:20:commercial:landing|строительство бани на дачном участке:19:informational:guide|строительство бань в тюмени под ключ:17:commercial:landing|строительство бани на земельном участке:7:informational:guide"
"D04","Глубина скважины и итоговая стоимость","Бурение","66","Омск","P1","medium","11","2","27","бурение скважин цена","commercial","landing","1","1","0","бурение скважин цена:27:commercial:landing|как считается глубина скважины при бурении:7:informational:guide"
"P02","Гипсовая или цементная штукатурка","Штукатурка","66","Омск","P2","medium","12","3","10","механизированная гипсовая штукатурка","informational","guide","0","3","0","механизированная гипсовая штукатурка:10:informational:guide|гипсовая штукатурка кнауф механизированная:4:informational:guide|механизированная цементная штукатурка:4:informational:guide"
"B06","Планировка: парная, мойка и комната отдыха","Бани","66","Омск","P2","medium","13","4","5","каркасная моечная баня","informational","guide","1","3","0","каркасная моечная баня:5:informational:guide|парная баня на дачном участке:3:informational:guide|планировка бани на участке:2:commercial:landing|готовая планировка бани:1:informational:guide"
"B16","Слив и вода зимой","Бани","66","Омск","P2","medium","14","2","5","баня зимой замерзает вода","informational","guide","0","2","0","баня зимой замерзает вода:5:informational:guide|баня слив воды зимой:2:informational:guide"
"B11","Как проходит доставка и установка","Бани","66","Омск","P1","low","15","5","4","установка бани на участке","informational","guide","1","4","0","установка бани на участке:4:commercial:landing|норма установки бани на участке:1:informational:guide|нормативы установки бани на участке:1:informational:guide|правила установки бани на участке:1:informational:guide|установка бани на участке правила и нормативы:1:informational:guide"
"S03","Когда можно ходить и укладывать покрытие","Стяжка","66","Омск","P2","low","16","1","4","сколько сохнет полусухая стяжка","informational","guide","0","1","0","сколько сохнет полусухая стяжка:4:informational:guide"
"B19","Печь и дымоход","Бани","66","Омск","P2","low","17","2","3","готовые печи для бани","informational","guide","1","1","0","готовые печи для бани:3:informational:guide|готовые готовые печи для бань купить:2:commercial:landing"
"B04","Как выбрать размер 2×2, 3×2 или 4×2","Бани","66","Омск","P1","low","18","7","2","баня 4х2","commercial","landing","5","2","0","баня 4х2:2:commercial:landing|баня 2х2:1:commercial:landing|баня 2х2 своими руками:1:informational:guide|баня 4х2 5:1:commercial:landing|баня 4х2 планировка:1:commercial:landing|каркасная баня 2х2:1:commercial:landing|каркасная баня 2х2 своими руками:1:informational:guide"
"P03","От чего зависит цена штукатурки","Штукатурка","66","Омск","P1","low","19","1","2","механизированная штукатурка цена","commercial","landing","1","0","0","механизированная штукатурка цена:2:commercial:landing"
"B09","Итоговая цена и доплаты","Бани","66","Омск","P1","low","20","1","2","стоимость баня под ключ цена","commercial","landing","1","0","0","стоимость баня под ключ цена:2:commercial:landing"
"S01","Полусухая или мокрая стяжка","Стяжка","11318","Омская область","P1","high","1","193","1636","полусухая стяжка","commercial","landing","117","76","0","полусухая стяжка:1636:commercial:landing|полусухая стяжка пола:1005:commercial:landing|полусухая стяжка пола омск:94:commercial:landing|полусухая стяжка в квартире:50:commercial:landing|полусухая стяжка своими руками:47:informational:guide|полусухая стяжка цена:45:commercial:landing|полусухая стяжка в омске:43:commercial:landing|полусухая стяжка пола в квартире:43:informational:guide"
"B01","Готовая баня как альтернатива долгой стройке","Бани","11318","Омская область","P1","high","2","303","1521","баня под ключ","commercial","landing","301","2","0","баня под ключ:1521:commercial:landing|готовые бани:1124:commercial:landing|баня под ключ в омске:779:commercial:landing|готовые бани в омске:546:commercial:landing|купить готовую баню:502:commercial:landing|баня под ключ цена:474:commercial:landing|баня под ключ омск цены:367:commercial:landing|мобильная баня:364:commercial:landing"
"B03","Квадро или каркасная баня","Бани","11318","Омская область","P1","high","3","172","900","каркасная баня","commercial","landing","109","63","0","каркасная баня:900:commercial:landing|каркасная баня своими руками:166:informational:guide|пол в каркасной бане:76:commercial:landing|каркасная баня в омске:55:commercial:landing|каркасная баня пошаговая:54:commercial:landing|каркасная баня своими руками пошаговая:52:informational:guide|инструкция каркасной бани:44:commercial:landing|каркасная баня пошаговая инструкция:44:commercial:landing"
"P01","Механизированная или ручная штукатурка","Штукатурка","11318","Омская область","P1","high","4","53","766","механизированная штукатурка","commercial","landing","36","17","0","механизированная штукатурка:766:commercial:landing|механизированной штукатуркой механизируемая штукатурка:766:commercial:landing|механизированная штукатурка стен:16:commercial:landing|механизированная штукатурка омск:8:commercial:landing|какая механизированная штукатурка лучше:6:informational:guide|лучшая механизированная штукатурка:6:commercial:landing|аппарат для механизированной штукатурки:4:commercial:landing|кнауф механизированная штукатурка 30 кг:4:informational:guide"
