rank,priority_band,decision,page_kind,title,path,business_priority,planner_score,phrase_count,max_count,strongest_phrase,strongest_region,regions,intent_ids,top_queries,note
"1","now","expand","landing","Готовая / мобильная баня в Омске","/mobilnaya-banya-omsk/","P1","103.6","444","1521","баня под ключ","Омская область","Омская область:1521|Омск:948","B01|B02|B08|B14|B19","баня под ключ:1521|готовые бани:1124|баня под ключ:948|баня под ключ в омске:779|готовые бани:719|готовые бани в омске:546|купить готовую баню:502|баня под ключ цена:474|баня под ключ в омске:469|баня под ключ омск цены:367","Базовая коммерческая страница готовой бани. Усиливать вместо создания дублей под каждую формулировку."
"2","now","expand","landing","Каркасная баня","/karkasnaya-banya-omsk/","P1","99.1","130","900","каркасная баня","Омская область","Омская область:900|Омск:637","B03|B14","каркасная баня:900|каркасная баня:637|пол в каркасной бане:76|каркасная баня в омске:55|каркасная баня в омске:54|каркасная баня пошаговая:54|пол в каркасной бане:48|инструкция каркасной бани:44|каркасная баня пошаговая инструкция:44|стены каркасной бани:43",""
"3","now","expand","landing","Полусухая стяжка в Омске","/polusuhaya-styazhka-omsk/","P1","88.3","130","1636","полусухая стяжка","Омская область","Омская область:1636|Омск:1320","S01","полусухая стяжка:1636|полусухая стяжка:1320|полусухая стяжка пола:1005|полусухая стяжка пола:802|полусухая стяжка пола омск:94|полусухая стяжка пола омск:91|полусухая стяжка в квартире:50|полусухая стяжка в квартире:49|полусухая стяжка цена:45|полусухая стяжка в омске:43",""
"4","now","merge","landing","Доставка и установка","/mobilnaya-banya-omsk/","P1","83.1","29","178","баня с доставкой","Омская область","Омская область:178|Омск:130","B10","баня с доставкой:178|бани с доставкой омск:143|баня с доставкой:130|бани с доставкой омск:105|готовые бани с доставкой:88|баня с доставкой и установкой:76|готовые бани с доставкой:76|баня с доставкой и установкой под ключ:71|купить баню с доставкой:68|готовые бани с доставкой омск:63","Коммерческий спрос закрываем отдельным сильным блоком на основной странице, не новым дублем."
"5","now","expand","landing","Механизированная штукатурка в Омске","/mehanizirovannaya-shtukaturka-omsk/","P1","81.7","44","766","механизированная штукатурка","Омская область","Омская область:766|Омск:559","P01|P03","механизированная штукатурка:766|механизированной штукатуркой механизируемая штукатурка:766|механизировать штукатурка:766|механизированная штукатурка:559|механизированной штукатуркой механизируемая штукатурка:559|механизировать штукатурка:559|механизированная штукатурка стен:16|механизированная штукатурка стен:16|механизируемая штукатурка стен:16|механизируемая штукатурка стен:16",""
"6","next","create","guide","Фундамент для мобильной бани","/guides/bani/fundament-dlya-mobilnoy-bani/","P1","81.3","60","183","фундамент под баню","Омская область","Омская область:183|Омск:116","B14","фундамент под баню:183|фундамент под баню:116|какой фундамент под баню:21|ленточный фундамент под баню:21|ленточный фундамент под баню:15|фундамент под баню 5 5:15|фундамент под баню своими руками:15|баня 4 4 фундамент под баню:12|как залить фундамент под баню:12|как залить фундамент под баню:12",""
"7","next","expand","landing","Бурение скважин в Омске","/burenie-skvazhiny-omsk/","P1","80.8","141","690","бурение скважин","Омская область","Омская область:690|Омск:486","D04","бурение скважин:690|бурение скважин:486|бурение скважин в омске:145|бурение скважин на воду:117|бурение скважин в омске:106|бурение скважин на воду:69|бурение скважин под:62|бурение скважин цена:55|бурение скважин под ключ:46|бурение скважин скважина ключ:46",""
"8","next","create","guide","Квадро или каркасная баня","/guides/bani/kvadro-ili-karkasnaya/","P1","80.5","81","166","каркасная баня своими руками","Омская область","Омская область:166|Омск:98","B03","каркасная баня своими руками:166|каркасная баня своими руками:98|каркасная баня своими руками пошаговая:52|каркасная баня своими руками пошаговая инструкция:44|каркасная баня своими руками пошаговая:30|каркасная баня своими руками пошаговая инструкция:25|теплый пол в каркасной бане:21|как построить каркасную баню:18|каркасная баня 2.5 на 2.5:18|каркасная баня своими руками пошаговые фото:18",""
"9","next","create","guide","Баня зимой в Омске","/guides/bani/banya-zimoy-omsk/","P1","78.3","33","130","баня зимой","Омская область","Омская область:130|Омск:82","B16|B17","баня зимой:130|баня зимой:82|теплая баня зимой:10|теплая баня зимой:9|вода в бане зимой:8|как утеплить баню зимой:8|вода в бане зимой:6|баня зимой замерзает вода:5|баня зимой замерзает вода:5|как утеплить баню зимой:5",""
"10","next","merge","landing","Кедр и материал бани","/mobilnaya-banya-omsk/","P2","68.3","12","130","кедровые бани","Омская область","Омская область:130|Омск:121","B20","кедровые бани:130|кедровые бани:121|кедровые бани омск:76|кедровые бани омск:73|кедровая баня омск демьяна:30|кедровая баня омск демьяна:29|кедровые бани бочки:6|кедровая баня цена:4|кедровая баня цена:4|кедровые бани бочки:3","Материал — доказательство продукта внутри основной страницы, а не отдельный коммерческий дубль."
"11","later","merge","landing","Комплектация и что входит в цену","/mobilnaya-banya-omsk/","P1","64","6","19","купить готовые бани под ключ цена","Омская область","Омская область:19|Омск:14","B08|B09","купить готовые бани под ключ цена:19|купить готовые бани под ключ цена:14|стоимость баня под ключ цена:11|стоимость бани бочки под ключ:7|стоимость бани бочки под ключ цена:7|сколько цена бани бочки под ключ:5|стоимость баня под ключ цена:2|стоимость бани на участке:1","Не отдельный SEO-дубль: усилить блок комплектации и итоговой цены внутри основной коммерческой страницы."
"12","later","create","guide","Готовая баня или строить на участке","/guides/bani/gotovaya-ili-stroit/","P1","62.8","19","21","строительство бани на дачном участке","Омская область","Омская область:21|Омск:19","B02","строительство бани на дачном участке:21|строительство бани на дачном участке:19|строительство бани на земельном участке:8|на каком участке можно строить баню:7|строительство бани на земельном участке:7|строительство бани на дачном участке санпин:5|строительство бани на дачном участке санпин:5|можно строить баню на дачном участке:4|можно строить баню на дачном участке:4|нормы строительства бани на участке:4",""
"13","later","create","guide","Полусухая или мокрая стяжка","/guides/polusuhaya-ili-mokraya-styazhka/","P1","53.6","87","47","полусухая стяжка своими руками","Омская область","Омская область:47|Омск:42","S01","полусухая стяжка своими руками:47|полусухая стяжка пола в квартире:43|полусухая стяжка пола в квартире:42|полусухая стяжка сколько:39|полусухая стяжка пола своими руками:27|полусухая стяжка своими руками:26|полусухая стяжка сколько:26|как сделать полусухую стяжку:25|полусухая стяжка на плоской крыше:22|полусухая стяжка на плоской крыше:22","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"14","later","create","landing","Готовая баня или строить на участке","/gotovaya-banya-ili-stroit-na-uchastke-omsk/","P1","53.3","1","45","строительство бани на участке","Омская область","Омская область:45|Омск:40","B02","строительство бани на участке:45|строительство бани на участке:40","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"15","later","expand","landing","Баня Квадро 4×2","/banya-kvadro-4x2-omsk/","P1","52","5","3","баня 4х2","Омская область","Омская область:3|Омск:2","B04","баня 4х2:3|баня 4х2:2|баня 4х2 5:1|баня 4х2 5:1|баня 4х2 каркасная:1|баня 4х2 планировка:1|баня 4х2 планировка:1|проект баня 4х2:1",""
"16","later","expand","landing","Баня Квадро 2×2","/banya-kvadro-2x2-omsk/","P1","49.5","2","2","баня 2х2","Омская область","Омская область:2|Омск:1","B04","баня 2х2:2|баня 2х2:1|каркасная баня 2х2:1|каркасная баня 2х2:1",""
"17","later","create","guide","Кедр против сосны и ели","/guides/kedr-protiv-sosny-i-eli/","P2","42.8","2","21","кедровая баня на демьяна бедного","Омск","Омск:21|Омская область:21","B20","кедровая баня на демьяна бедного:21|кедровая баня на демьяна бедного:21|кедровая баня на демьяна бедного омск:20|кедровая баня на демьяна бедного омск:20","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"18","later","create","guide","Как выбрать размер 2×2, 3×2 или 4×2","/guides/bani/kak-vybrat-razmer-2x2-3x2-4x2/","P1","42","2","1","баня 2х2 своими руками","Омск","Омск:1|Омская область:1","B04","баня 2х2 своими руками:1|баня 2х2 своими руками:1|каркасная баня 2х2 своими руками:1|каркасная баня 2х2 своими руками:1",""
"19","later","create","guide","Подготовка участка, доставка и манипулятор","/guides/bani/podgotovka-uchastka-dostavka-manipulyator/","P1","42","4","1","норма установки бани на участке","Омск","Омск:1|Омская область:1","B11","норма установки бани на участке:1|нормативы установки бани на участке:1|нормативы установки бани на участке:1|правила установки бани на участке:1|правила установки бани на участке:1|установка бани на участке правила и нормативы:1|установка бани на участке правила и нормативы:1",""
