phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"полусухая стяжка","11318","Омская область","1636","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"баня под ключ","11318","Омская область","1521","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"полусухая стяжка","66","Омск","1320","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"готовые бани","11318","Омская область","1124","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"полусухая стяжка пола","11318","Омская область","1005","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","8","полусух* стяжк*|стяжка пола"
"баня под ключ","66","Омск","948","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"каркасная баня","11318","Омская область","900","association|top","баня под ключ|каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"полусухая стяжка пола","66","Омск","802","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","8","полусух* стяжк*|стяжка пола"
"баня под ключ в омске","11318","Омская область","779","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"механизированная штукатурка","11318","Омская область","766","top","механизированная штукатурка","assigned","commercial","medium","commercial-head","landing","P01","Механизированная или ручная штукатурка","4","механизированн* штукатурк*"
"механизированной штукатуркой механизируемая штукатурка","11318","Омская область","766","top","механизированная штукатурка","assigned","commercial","medium","commercial-head","landing","P01","Механизированная или ручная штукатурка","4","механизированн* штукатурк*"
"механизировать штукатурка","11318","Омская область","766","top","механизированная штукатурка","unassigned","commercial","medium","commercial-head","landing","","","",""
"готовые бани","66","Омск","719","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"бурение скважин","11318","Омская область","690","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"каркасная баня","66","Омск","637","association|top","баня под ключ|каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"механизированная штукатурка","66","Омск","559","top","механизированная штукатурка","assigned","commercial","medium","commercial-head","landing","P01","Механизированная или ручная штукатурка","4","механизированн* штукатурк*"
"механизированной штукатуркой механизируемая штукатурка","66","Омск","559","top","механизированная штукатурка","assigned","commercial","medium","commercial-head","landing","P01","Механизированная или ручная штукатурка","4","механизированн* штукатурк*"
"механизировать штукатурка","66","Омск","559","top","механизированная штукатурка","unassigned","commercial","medium","commercial-head","landing","","","",""
"готовые бани в омске","11318","Омская область","546","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"купить готовую баню","11318","Омская область","502","top","готовая баня","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"бурение скважин","66","Омск","486","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
