phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"нейросеть","225","Россия","4923526","association|top","бесплатные нейросети|нейросети|нейросеть для программирования","unassigned","unmapped","none","none","hold","","","",""
"дипсик","225","Россия","2406813","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"нейросеть бесплатно","225","Россия","959873","top","бесплатные нейросети|нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть алиса","225","Россия","824764","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"gemini","225","Россия","759173","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"нейросеть фото","225","Россия","484372","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть онлайн","225","Россия","367667","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"qwen","225","Россия","345732","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"нейросеть ии","225","Россия","338609","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть текст","225","Россия","285825","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть онлайн бесплатно","225","Россия","264927","top","бесплатные нейросети|нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть фото бесплатно","225","Россия","248331","top","бесплатные нейросети|нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть чат","225","Россия","242424","association|top","api нейросети|нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть на русском","225","Россия","235607","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"песни нейросети","225","Россия","212053","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"дипсик нейросеть","225","Россия","202348","top","дипсик|нейросети","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"нейросеть для генерации","225","Россия","189450","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть официальный","225","Россия","189238","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"алиса ии нейросеть","225","Россия","186908","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть официальный сайт","225","Россия","175968","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"deepseek","225","Россия","171842","association|top","deepseek|дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"помощь нейросети","225","Россия","169150","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть гига","225","Россия","145419","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"гига чат нейросеть","225","Россия","142033","association|top","нейросети|телеграм бот нейросеть","unassigned","unmapped","none","none","hold","","","",""
"нейросеть бесплатно на русском","225","Россия","134167","top","бесплатные нейросети|нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть картинки","225","Россия","125213","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"без нейросеть","225","Россия","122868","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"гига нейросеть официальный","225","Россия","118410","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"гига чат нейросеть официальный","225","Россия","117952","association|top","нейросети|телеграм бот нейросеть","unassigned","unmapped","none","none","hold","","","",""
"codex","225","Россия","113914","top","codex","assigned","informational","low","intent-default","guide","TL04","OpenAI Codex","2","codex*"
"чат нейросеть официальный сайт","225","Россия","113016","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"гига сайт нейросеть","225","Россия","112947","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"гига нейросеть официальный сайт","225","Россия","112923","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"гига чат нейросеть сайт","225","Россия","112631","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"гига чат нейросеть официальный сайт","225","Россия","112614","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть онлайн фото","225","Россия","111809","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть для создания","225","Россия","105672","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть текст бесплатно","225","Россия","105387","top","бесплатные нейросети|нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть порно","225","Россия","100540","top","нейросети","negative","noise","high","negative-rule","hold","","","",""
"нейросеть скачать","225","Россия","95903","top","нейросети","unassigned","unmapped","none","none","hold","","","",""
