intent_id,intent_title,cluster,region_id,region_name,business_priority,relative_demand_band,relative_rank,phrase_count,max_count,strongest_phrase,top_phrases
"S01","Полусухая или мокрая стяжка","Стяжка","66","Омск","P1","high","1","192","1320","полусухая стяжка","полусухая стяжка:1320|полусухая стяжка пола:802|полусухая стяжка пола омск:91|полусухая стяжка в квартире:49|полусухая стяжка пола в квартире:42|полусухая стяжка цена:40|полусухая стяжка в омске:39|заливка полусухой стяжки:34"
"B01","Готовая баня как альтернатива долгой стройке","Бани","66","Омск","P1","high","2","259","948","баня под ключ","баня под ключ:948|готовые бани:719|баня под ключ в омске:469|готовые бани в омске:348|купить готовую баню:344|мобильная баня:260|баня под ключ цена:258|купить баню под ключ:237"
"B03","Квадро или каркасная баня","Бани","66","Омск","P1","high","3","172","637","каркасная баня","каркасная баня:637|каркасная баня своими руками:98|каркасная баня в омске:54|пол в каркасной бане:48|строительство каркасной бани:33|каркасная баня пошаговая:30|каркасная баня своими руками пошаговая:30|каркасная баня купить:28"
"P01","Механизированная или ручная штукатурка","Штукатурка","66","Омск","P1","high","4","47","559","механизированная штукатурка","механизированная штукатурка:559|механизированной штукатуркой механизируемая штукатурка:559|механизированная штукатурка стен:16|какая механизированная штукатурка лучше:6|лучшая механизированная штукатурка:6|механизированная штукатурка омск:6|аппарат для механизированной штукатурки:4|кнауф механизированная штукатурка 30 кг:4"
"B10","Стоимость доставки по Омску и области","Бани","66","Омск","P1","high","5","23","130","баня с доставкой","баня с доставкой:130|бани с доставкой омск:105|готовые бани с доставкой:76|купить баню с доставкой:59|готовые бани с доставкой омск:57|купить баню с доставкой в омске:55|купить готовую баню с доставкой:51|баня с доставкой и установкой:48"
"B20","Кедр против сосны и ели","Бани","66","Омск","P2","medium","6","13","121","кедровые бани","кедровые бани:121|кедровые бани омск:73|кедровая баня омск демьяна:29|кедровая баня на демьяна бедного:21|кедровая баня на демьяна бедного омск:20|кедровая баня цена:4|кедровые бани бочки:3|кедровую баню чем обработать:2"
"B14","Фундамент для мобильной или готовой бани","Бани","66","Омск","P1","medium","7","53","116","фундамент под баню","фундамент под баню:116|ленточный фундамент под баню:15|каркасная баня на сваях:14|как залить фундамент под баню:12|фундамент под баню своими руками:11|какой фундамент под баню:10|фундамент под баню 5 5:9|баня 4 4 фундамент под баню:8"
"B17","Использование бани зимой в Омске","Бани","66","Омск","P1","medium","8","25","82","баня зимой","баня зимой:82|теплая баня зимой:9|вода в бане зимой:6|как утеплить баню зимой:5|как сделать баню зимой:4|пол в бане зимой:3|провести воду в баню зимой:3|баня зимой паримся:2"
"B08","Что входит в баню под ключ","Бани","66","Омск","P1","medium","9","15","76","готовая баня под ключ","готовая баня под ключ:76|готовые бани под ключ в омске:43|цена готовой бани под ключ:42|готовая баня под ключ недорого цена:24|готовые бани под ключ недорого:24|купить готовую баню под ключ:22|готовые бани под ключ фото:17|готовые бани под ключ фото цена:17"
"B02","Готовая баня или строить на участке","Бани","66","Омск","P1","medium","10","28","45","строительство бани под ключ","строительство бани под ключ:45|строительство бани на участке:40|омск строительство бань под ключ:26|строительство бани под ключ цена:22|строительство бань в омске под ключ цены:20|строительство бани на дачном участке:19|строительство бань в тюмени под ключ:17|строительство бани на земельном участке:7"
