phrase,region_id,region_name,count,types,seeds
"стяжки","11318","Омская область","10407","association","полусухая стяжка"
"бура","11318","Омская область","9043","association","бурение скважин"
"стяжки","66","Омск","8222","association","полусухая стяжка"
"бура","66","Омск","6247","association","бурение скважин"
"банное","11318","Омская область","4988","association","готовая баня"
"стяжка пола","11318","Омская область","3958","association","полусухая стяжка"
"банное","66","Омск","3617","association","готовая баня"
"стяжка пола","66","Омск","3090","association","полусухая стяжка"
"буровая","11318","Омская область","1764","association","бурение скважин"
"полусухая стяжка","11318","Омская область","1636","top","полусухая стяжка"
"баня под ключ","11318","Омская область","1521","top","баня под ключ"
"зимние ботинки","11318","Омская область","1438","association","баня зимой"
"полусухая стяжка","66","Омск","1320","top","полусухая стяжка"
"бурят","11318","Омская область","1190","association","бурение скважин"
"буровая","66","Омск","1175","association","бурение скважин"
"зимние ботинки","66","Омск","1143","association","баня зимой"
"готовые бани","11318","Омская область","1124","top","готовая баня"
"банька","11318","Омская область","1070","association","готовая баня"
"полусухая стяжка пола","11318","Омская область","1005","top","полусухая стяжка"
"баня под ключ","66","Омск","948","top","баня под ключ"
"каркасная баня","11318","Омская область","900","association|top","баня под ключ|каркасная баня"
"бурят","66","Омск","884","association","бурение скважин"
"полусухая стяжка пола","66","Омск","802","top","полусухая стяжка"
"баня под ключ в омске","11318","Омская область","779","top","баня под ключ"
"механизированная штукатурка","11318","Омская область","766","top","механизированная штукатурка"
"механизированной штукатуркой механизируемая штукатурка","11318","Омская область","766","top","механизированная штукатурка"
"механизировать штукатурка","11318","Омская область","766","top","механизированная штукатурка"
"борщевая заправка на зиму в банках","11318","Омская область","756","association","баня зимой"
"банька","66","Омск","732","association","готовая баня"
"щи на зиму","11318","Омская область","728","association","баня зимой"
"готовые бани","66","Омск","719","top","готовая баня"
"бурение скважин","11318","Омская область","690","top","бурение скважин"
"банный комплекс","11318","Омская область","645","association","баня 2х2|баня 4х2|баня на участок|готовая баня|доставка бани"
"каркасная баня","66","Омск","637","association|top","баня под ключ|каркасная баня"
"механизированная штукатурка","66","Омск","559","top","механизированная штукатурка"
"механизированной штукатуркой механизируемая штукатурка","66","Омск","559","top","механизированная штукатурка"
"механизировать штукатурка","66","Омск","559","top","механизированная штукатурка"
"банный комплекс","66","Омск","558","association","баня 2х2|баня 4х2|баня на участок|готовая баня|доставка бани"
"готовые бани в омске","11318","Омская область","546","top","готовая баня"
"бабы в бане","11318","Омская область","515","association","баня зимой|мобильная баня"
