phrase,region_id,region_name,count,types,seeds
"нейросеть","225","Россия","4923526","association|top","бесплатные нейросети|нейросети|нейросеть для программирования"
"ол","225","Россия","3554343","association","ollama"
"дипсик","225","Россия","2406813","top","дипсик"
"this","225","Россия","1822687","association","qwen"
"code","225","Россия","1449394","association","codex"
"last","225","Россия","1368844","association","llama"
"голд","225","Россия","1339223","association","gemini"
"голда","225","Россия","1339223","association","gemini"
"джеймс","225","Россия","1151721","association","gemini"
"жемчужина","225","Россия","1059631","association","gemini"
"нейросеть бесплатно","225","Россия","959873","top","бесплатные нейросети|нейросети"
"бесплатная нейросеть","225","Россия","959489","association","бесплатные нейросети"
"gold","225","Россия","929394","association","gemini"
"нейросеть алиса","225","Россия","824764","top","нейросети"
"шгш","225","Россия","803206","association","n8n"
"gemini","225","Россия","759173","top","gemini"
"вон","225","Россия","707945","association","qwen"
"server","225","Россия","634856","association","mcp сервер"
"сильвер","225","Россия","568218","association","gemini"
"movie","225","Россия","540701","association","codex"
"фламинго","225","Россия","523421","association","gemini"
"нейросеть фото","225","Россия","484372","top","нейросети"
"квин","225","Россия","412522","association","qwen"
"курсоры","225","Россия","409458","association","cursor ai"
"гигачат","225","Россия","390910","association","gigachat"
"нейросеть онлайн","225","Россия","367667","top","нейросети"
"qwen","225","Россия","345732","top","qwen"
"нейросеть ии","225","Россия","338609","top","нейросети"
"agent","225","Россия","306127","association","ии агент"
"нейросеть текст","225","Россия","285825","top","нейросети"
"клауде","225","Россия","269017","association","claude code"
"изгиб","225","Россия","266271","association","ollama"
"нейросеть онлайн бесплатно","225","Россия","264927","top","бесплатные нейросети|нейросети"
"yellow","225","Россия","253696","association","gemini"
"нейросеть фото бесплатно","225","Россия","248331","top","бесплатные нейросети|нейросети"
"нейросеть чат","225","Россия","242424","association|top","api нейросети|нейросети"
"лексика","225","Россия","240393","association","llama"
"информационная безопасность","225","Россия","236331","association","безопасность нейросетей"
"нейросеть на русском","225","Россия","235607","top","нейросети"
"классификатор","225","Россия","233497","association","codex"
"around","225","Россия","226225","association","qwen"
"песни нейросети","225","Россия","212053","top","нейросети"
"дипсик нейросеть","225","Россия","202348","top","дипсик|нейросети"
"нейросеть для генерации","225","Россия","189450","top","нейросети"
"нейросеть официальный","225","Россия","189238","top","нейросети"
"конан","225","Россия","188954","association","codex"
"алиса ии нейросеть","225","Россия","186908","top","нейросети"
"нейросеть официальный сайт","225","Россия","175968","top","нейросети"
"release","225","Россия","173894","association","codex"
"deepseek","225","Россия","171842","association|top","deepseek|дипсик"
"помощь нейросети","225","Россия","169150","top","нейросети"
"swing","225","Россия","161340","association","gemini"
"электронная конфигурация","225","Россия","155113","association","мультиагентные системы"
"нейросеть гига","225","Россия","145419","top","нейросети"
"упорно","225","Россия","142982","association","gemini"
"гига чат нейросеть","225","Россия","142033","association|top","нейросети|телеграм бот нейросеть"
"ну да","225","Россия","134514","association","codex"
"нейросеть бесплатно на русском","225","Россия","134167","top","бесплатные нейросети|нейросети"
"попи","225","Россия","132394","association","n8n"
"гигпорно","225","Россия","127835","association","gigachat"
"нейросеть картинки","225","Россия","125213","top","нейросети"
"без нейросеть","225","Россия","122868","top","нейросети"
"гига нейросеть официальный","225","Россия","118410","top","нейросети"
"g m","225","Россия","118363","association","glm"
"гига чат нейросеть официальный","225","Россия","117952","association|top","нейросети|телеграм бот нейросеть"
"серверная","225","Россия","117437","association","mcp сервер"
"codex","225","Россия","113914","top","codex"
"чат нейросеть официальный сайт","225","Россия","113016","top","нейросети"
"гига сайт нейросеть","225","Россия","112947","top","нейросети"
"гига нейросеть официальный сайт","225","Россия","112923","top","нейросети"
"квен","225","Россия","112671","association","qwen"
"гига чат нейросеть сайт","225","Россия","112631","top","нейросети"
"гига чат нейросеть официальный сайт","225","Россия","112614","top","нейросети"
"нейросеть онлайн фото","225","Россия","111809","top","нейросети"
"нейросеть для создания","225","Россия","105672","top","нейросети"
"нейросеть текст бесплатно","225","Россия","105387","top","бесплатные нейросети|нейросети"
"нейросеть порно","225","Россия","100540","top","нейросети"
"алах","225","Россия","96688","association","ollama"
"нейросеть скачать","225","Россия","95903","top","нейросети"
